@relation ,?
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% ../SamplePcap/testbed\150Connection.pcapng
192.168.1.112,57816,192.168.2.100,80,6,60.7987756729126,FSRPA,14,9,1402,963,0.23026779478780451,0.16753762296469424,23.059674878035853,17.92652565722228,1.5555555555555556,1.4558670820353063,46,100.14285714285714,467,103.34122199425217,52,107.0,539,152.7554327093548,0.002726316452026367,4.676828897916353,10.000829935073853,4.3440361962838,0.005553483963012695,6.714909642934799,10.000828981399536,4.295231772858263,7,0,1,0,?
192.168.1.111,45150,192.168.2.100,80,6,60.627854347229004,FSRPA,15,9,1391,963,0.2474110318021765,0.19936045559345109,22.943249682455168,21.33156874849927,1.6666666666666667,1.4444444444444444,46,92.73333333333333,467,101.14772475059546,52,107.0,539,152.7554327093548,2.384185791015625e-06,4.330561024802072,10.000875234603882,4.190856567179332,7.152557373046875e-07,5.643044888973236,10.00087308883667,4.5189075395770315,6,0,1,0,?
192.168.1.110,56692,192.168.2.100,80,6,60.62148070335388,FSRPA,19,10,3267,1015,0.31342025598112494,0.18722350071884553,53.89178822580712,19.00318532296282,1.9,3.21871921182266,46,171.94736842105263,467,176.9021358010398,52,101.5,539,145.8528367910614,8.106231689453125e-06,3.367860039075216,10.0018470287323,4.220885357120873,4.792213439941406e-05,5.934677574369642,10.001843929290771,4.561170113847436,11,0,1,0,?
192.168.1.110,56464,192.168.2.100,80,6,60.951332330703735,FSRPA,11,9,1163,963,0.18047185482865713,0.14766613641078352,19.080797015066203,15.800276595953838,1.2222222222222223,1.2076843198338525,46,105.72727272727273,467,115.27917963014114,52,107.0,539,152.7554327093548,0.0012137889862060547,6.095133233070373,9.99989652633667,4.779239843153284,0.003202676773071289,7.61853751540184,9.99989628791809,4.11674504888073,7,0,1,0,?
192.168.1.101,39440,192.168.2.100,80,6,60.69879221916199,FSRPA,14,9,1413,963,0.23064709342899153,0.16786255062626124,23.278881643940363,17.961292917009953,1.5555555555555556,1.4672897196261683,46,100.92857142857143,467,103.51774470779274,52,107.0,539,152.7554327093548,6.222724914550781e-05,4.669137863012461,10.005374193191528,4.34865824960034,0.005732536315917969,6.701911747455597,10.005379438400269,4.309246166745445,7,0,1,0,?
192.168.1.101,39256,192.168.2.100,80,6,60.97603893280029,FSRPA,11,9,1152,963,0.1803987302639114,0.14760588051019227,18.892667024002357,15.793829214590573,1.2222222222222223,1.1962616822429906,46,104.72727272727273,467,115.4541159619785,52,107.0,539,152.7554327093548,0.0014142990112304688,6.097603893280029,10.00059175491333,4.776238857408619,0.002994060516357422,7.6216475665569305,10.00059461593628,4.111967298495501,7,0,1,0,?
192.168.1.100,43724,192.168.2.100,80,6,0.016520977020263672,FSRPA,13,7,898,11948,786.8784021704621,441.8378931527464,54355.138857621154,754154.1639127163,1.8571428571428572,0.07515902243053231,46,69.07692307692308,308,69.09353920420716,52,1706.857142857143,2948,1430.843450413719,7.152557373046875e-07,0.0013767480850219727,0.012995004653930664,0.0035309201329138586,5.245208740234375e-06,0.0026404857635498047,0.014105081558227539,0.005143269139308497,1,0,1,0,?
192.168.1.111,45056,192.168.2.100,80,6,60.7714581489563,FSRPA,15,9,1389,963,0.24682639608932294,0.19826241518010482,22.856124277871306,21.214078424271218,1.6666666666666667,1.442367601246106,46,92.6,467,101.34942854632514,52,107.0,539,152.7554327093548,2.384185791015625e-06,4.340818439211164,10.002995729446411,4.191022416194196,7.152557373046875e-07,5.674297869205475,10.00299620628357,4.508174661263338,6,0,1,0,?
192.168.1.111,45174,192.168.2.100,80,6,60.59107208251953,FSRPA,15,9,1361,963,0.2475612245244871,0.19936355950875131,22.462055105188462,21.331900867436392,1.6666666666666667,1.4132917964693665,46,90.73333333333333,467,101.39129921031467,52,107.0,539,152.7554327093548,2.6226043701171875e-06,4.327933720179966,10.003566265106201,4.191243638098082,7.152557373046875e-07,5.642957031726837,10.003564596176147,4.518949795797717,6,0,1,0,?
