@relation relation
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof string
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
192.168.1.101,35750,192.168.2.100,80,6,0.008669376373291016,FSPA,13,7,800,11967,1517.0961297682313,813.3675374684877,93359.76183189116,1390509.9029836275,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.5272369384765625e-05,0.0007140835126241049,0.0034942626953125,0.0010213607211811302,0.0002865791320800781,0.0014343659083048503,0.00415492057800293,0.0014048757363264448,1,0,1,0,normal
192.168.1.100,39920,192.168.2.100,80,6,0.010000944137573242,FSPA,13,7,800,11967,1317.3065326633166,704.5867050635949,81065.01739466563,1204541.2999280058,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,5.0067901611328125e-06,0.0008223851521809896,0.004063129425048828,0.0011404096246560194,0.0001952648162841797,0.0016558170318603516,0.0053365230560302734,0.0018328154117322356,1,0,1,0,normal
192.168.1.102,38836,192.168.2.100,80,6,0.010324954986572266,FSPA,13,7,800,11967,1264.8685162846803,681.9689677599182,77838.06254059571,1165874.662454706,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,1.7642974853515625e-05,0.0008564790089925131,0.0040035247802734375,0.0011005927716200609,0.00030994415283203125,0.0017107327779134114,0.005117654800415039,0.001729570082352923,1,0,1,0,normal
192.168.1.101,35758,192.168.2.100,80,6,0.010436058044433594,FSPA,13,7,800,11967,1254.3063651629823,674.6973067377517,77188.08401002968,1153443.2385329534,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.5272369384765625e-05,0.0008636911710103353,0.004087924957275391,0.0011305554546535428,0.0003485679626464844,0.0017291704813639324,0.00528717041015625,0.0018070642452310349,1,0,1,0,normal
192.168.1.102,38850,192.168.2.100,80,6,0.010620832443237305,FSPA,13,7,800,11967,1240.4948697531565,662.9513852823628,76338.14583096349,1133362.7468105764,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.47955322265625e-05,0.0008733073870340983,0.003869295120239258,0.0010816588768280235,0.00019598007202148438,0.0017598072687784831,0.005636453628540039,0.0019468105704127411,1,0,1,0,normal
192.168.1.100,39916,192.168.2.100,80,6,0.008420467376708984,FSPA,13,6,800,11915,1561.6769869683517,717.7930405019965,96103.19919805242,1425417.3462635481,2.1666666666666665,0.06714225765841376,52,61.53846153846154,168,30.806131718852495,52,1985.8333333333333,7292,2856.1460289853685,1.5974044799804688e-05,0.0006936987241109213,0.0035920143127441406,0.0010540560183479218,0.0003998279571533203,0.0016717910766601562,0.004050731658935547,0.0013260250411022152,1,0,1,0,normal
192.168.1.101,35740,192.168.2.100,80,6,0.008703470230102539,FSPA,13,7,800,11967,1506.0337522441653,810.0909968821566,92679.00013810248,1384908.4228126812,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.4318695068359375e-05,0.0007193287213643392,0.003442049026489258,0.001007918796225476,0.0003037452697753906,0.0014401674270629883,0.0040493011474609375,0.001386135756449582,1,0,1,0,normal
192.168.1.100,39928,192.168.2.100,80,6,0.010477304458618164,FSPA,13,7,800,11967,1253.6142545120128,672.0564012177535,77145.49258535464,1148928.4219104082,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,2.6226043701171875e-05,0.0008641680081685384,0.004110574722290039,0.001152793041618639,0.00019407272338867188,0.001735965410868327,0.005708456039428711,0.00197303873578883,1,0,1,0,normal
192.168.1.100,39926,192.168.2.100,80,6,0.010284662246704102,FSPA,13,7,800,11967,1273.4650255739543,684.7204459059213,78367.07849685872,1170578.5108794514,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,5844,2614.8453031075614,7.867813110351562e-06,0.0008506973584493002,0.004193305969238281,0.001182348765507211,0.00019025802612304688,0.0017038583755493164,0.0055577754974365234,0.0019131826186142534,1,0,1,0,normal
192.168.1.100,39936,192.168.2.100,80,6,0.010625839233398438,FSPA,13,7,800,11967,1236.472220962402,662.6371761307213,76090.59821307089,1132825.5838223347,1.8571428571428572,0.06685050555694827,52,61.53846153846154,168,30.806131718852495,52,1709.5714285714287,4396,1962.4541382916339,2.3603439331054688e-05,0.000876148541768392,0.003543376922607422,0.0010003553814352353,0.0003383159637451172,0.0017606417338053386,0.005466461181640625,0.0018911848107001803,1,0,1,0,normal
