@relation ,?
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood}
@data
% ..\live_capture_input\Sat_03_31_2018_22_15_03.83.pcapng
54.230.208.84,443,192.168.254.100,57055,6,0.39984679222106934,25,6,5,317,200,15.005747493111535,14.709733532535124,792.8036592193928,588.3893413014049,1.2,1.585,40,52.833333333333336,86,18.658480347790622,40,40.0,40,0.0,2.1457672119140625e-06,0.07996935844421386,0.3401508331298828,0.13120838978583735,0.00035309791564941406,0.08497774600982666,0.3029201030731201,0.1266768697862792,2,0,0,0,?
52.230.83.250,443,192.168.254.100,55846,6,0.022135019302368164,16,2,1,80,40,90.35456317790631,0.0,3614.1825271162525,0.0,2.0,2.0,40,40.0,40,0.0,40,40.0,40,0.0,0.022135019302368164,0.022135019302368164,0.022135019302368164,0.0,0,0,0,0,0,0,0,0,?
192.168.254.100,55611,192.168.254.254,53,17,0.0,N/A,1,0,80,0,0.0,0.0,0.0,0.0,0.0,0.0,80,80.0,80,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
106.10.249.87,443,192.168.254.100,57258,6,0.10120391845703125,29,4,3,191,151,39.52416132679985,10381.940594059406,1887.2787033546929,522557.67656765674,1.3333333333333333,1.2649006622516556,40,47.75,71,13.423393758658799,40,50.333333333333336,71,14.613540144521982,3.814697265625e-06,0.033734639485677086,0.09668707847595215,0.04455214492514501,0.0001270771026611328,0.00014448165893554688,0.00016188621520996094,1.7404556274414062e-05,1,0,1,0,?
192.168.254.100,57332,184.87.241.236,443,6,1.1228981018066406,26,10,12,1236,8650,8.905527566491484,11.982122392194187,1100.7232072183476,8637.11322437331,0.8333333333333334,0.14289017341040464,40,123.6,365,109.76356408207597,40,720.8333333333334,1450,617.0190209565847,0.01061105728149414,0.1247664557562934,0.3732779026031494,0.11787776844824581,4.76837158203125e-06,0.09104472940618341,0.40952086448669434,0.14231737951385984,4,0,4,0,?
203.177.59.146,443,192.168.254.100,57327,6,0.9312889575958252,25,64,24,88124,960,68.73812951482515,25.77928725396069,94648.10820881954,1031.1714901584276,2.6666666666666665,91.79583333333333,40,1376.9375,1450,265.26118467229617,40,40.0,40,0.0,9.5367431640625e-07,0.014778886522565569,0.4070429801940918,0.05786082032265988,0.0004379749298095703,0.040477389874665634,0.40709996223449707,0.09040306400646156,6,0,0,0,?
203.177.59.146,443,192.168.254.100,57326,6,0.3022170066833496,17,2,1,80,40,6.622473726758286,0.0,264.89894907033147,0.0,2.0,2.0,40,40.0,40,0.0,40,40.0,40,0.0,0.302001953125,0.302001953125,0.302001953125,0.0,0,0,0,0,0,0,0,0,?
192.168.254.103,5353,224.0.0.251,5353,17,3.1744561195373535,N/A,3,0,349,0,0.9450437766445552,0.0,109.94009268298325,0.0,0.0,0.0,98,116.33333333333333,145,20.531818125912658,0,0,0,0,0.6144571304321289,1.5872280597686768,2.5599989891052246,0.9727709293365479,0,0,0,0,-1,-1,-1,-1,?
62.128.100.45,443,192.168.254.100,57328,6,0.7247881889343262,19,3,3,132,120,4.139735388026827,4.139660481642322,182.14835707318036,165.58641926569285,1.0,1.1,40,44.0,52,5.656854249492381,40,40.0,40,0.0,0.015460968017578125,0.3623420000076294,0.7092230319976807,0.34688103199005127,6.413459777832031e-05,0.3623485565185547,0.724632978439331,0.36228442192077637,0,0,0,0,?
