@relation ,?
@attribute src_ip string
@attribute src_port numeric
@attribute dst_ip string
@attribute dst_port numeric
@attribute proto_number numeric
@attribute duration numeric
@attribute cof {N/A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127}
@attribute total_f_packets numeric
@attribute total_b_packets numeric
@attribute total_f_bytes numeric
@attribute total_b_bytes numeric
@attribute pps_f numeric
@attribute pps_b numeric
@attribute bps_f numeric
@attribute bps_b numeric
@attribute rfb_packets numeric
@attribute rfb_bytes numeric
@attribute min_f_pkt numeric
@attribute mean_f_pkt numeric
@attribute max_f_pkt numeric
@attribute std_f_pkt numeric
@attribute min_b_pkt numeric
@attribute mean_b_pkt numeric
@attribute max_b_pkt numeric
@attribute std_b_pkt numeric
@attribute min_f_time numeric
@attribute mean_f_time numeric
@attribute max_f_time numeric
@attribute std_f_time numeric
@attribute min_b_time numeric
@attribute mean_b_time numeric
@attribute max_b_time numeric
@attribute std_b_time numeric
@attribute psh_f_cnt numeric
@attribute urg_f_cnt numeric
@attribute psh_b_cnt numeric
@attribute urg_b_cnt numeric
@attribute isAttack {normal,slowHeaders,slowRead,tcpFlood,udpFlood,httpFlood}
@data
% ../live_capture_input\Mon_03_26_2018_11_57_59.84.pcapng
192.168.254.100,51483,192.168.254.254,53,17,0.0019919872283935547,N/A,1,1,59,75,0.0,0.0,0.0,0.0,1.0,0.7866666666666666,59,59.0,59,0.0,75,75.0,75,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64467,120.28.60.81,443,6,0.5920281410217285,26,131,193,9561,252369,221.273265446333,374.26443898986133,16149.570159789235,489392.4466499084,0.6787564766839378,0.03788500172366654,40,72.98473282442748,557,93.40308973205063,40,1307.6113989637306,1450,378.3675451836507,3.314018249511719e-05,0.004554062623244065,0.04406404495239258,0.006610228230515529,9.5367431640625e-07,0.002685823788245519,0.033908843994140625,0.004141025460702174,15,0,18,0,?
192.168.254.100,56097,239.255.255.250,1900,17,0.0,N/A,1,0,196,0,0.0,0.0,0.0,0.0,0.0,0.0,196,196.0,196,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,50575,192.168.254.254,53,17,0.0022051334381103516,N/A,1,1,70,86,0.0,0.0,0.0,0.0,1.0,0.813953488372093,70,70.0,70,0.0,86,86.0,86,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64464,194.177.23.188,443,6,1.432401180267334,26,8,8,1148,5954,5.585027511989995,7.487804524268105,801.4514479705642,5572.7985171865375,1.0,0.1928115552569701,40,143.5,529,161.95832797358707,40,744.25,1450,612.1774150522052,0.0027251243591308594,0.20462874003819057,0.3936290740966797,0.17323960555526996,0.0013048648834228516,0.15262913703918457,0.37020301818847656,0.1734918069784328,3,0,3,0,?
192.168.254.100,55685,192.168.254.254,53,17,0.004580974578857422,N/A,1,1,76,92,0.0,0.0,0.0,0.0,1.0,0.8260869565217391,76,76.0,76,0.0,92,92.0,92,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64463,31.13.78.35,443,6,3.4877538681030273,26,143,241,11916,289208,41.880193351808636,70.54134865586695,3489.820866994068,84651.96000857248,0.5933609958506224,0.04120217974606512,40,83.32867132867133,640,117.48201922971266,40,1200.033195020747,1450,493.38404547114874,3.314018249511719e-05,0.024045788066487918,0.3445160388946533,0.050677913895961144,0.0,0.01423514982064565,0.3482818603515625,0.04243246419803314,19,0,50,0,?
192.168.254.100,52695,192.168.254.254,53,17,0.003239870071411133,N/A,1,1,65,81,0.0,0.0,0.0,0.0,1.0,0.8024691358024691,65,65.0,65,0.0,81,81.0,81,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64461,172.217.24.36,443,6,0.5014798641204834,26,10,12,1655,1293,25.66854240296201,28.019638156008547,4248.143767690212,3019.1160113099213,0.8333333333333334,1.279969064191802,40,165.5,557,167.2377050787292,40,107.75,371,97.1228817872836,0.00013589859008789062,0.04328687985738119,0.07746601104736328,0.03244744953622496,0.0,0.038933732292868874,0.1151578426361084,0.04187518219843133,6,0,6,0,?
192.168.254.100,64465,194.177.23.188,443,6,0.41533589363098145,18,2,1,92,52,4.815379625669831,0.0,221.5074627808122,0.0,2.0,1.7692307692307692,40,46.0,52,6.0,52,52.0,52,0.0,0.41533589363098145,0.41533589363098145,0.41533589363098145,0.0,0,0,0,0,0,0,0,0,?
192.168.254.100,57143,192.168.254.254,53,17,0.0036039352416992188,N/A,1,1,56,72,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,56,56.0,56,0.0,72,72.0,72,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,62579,192.168.254.254,53,17,0.002864837646484375,N/A,1,1,62,78,0.0,0.0,0.0,0.0,1.0,0.7948717948717948,62,62.0,62,0.0,78,78.0,78,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,56092,192.168.254.254,53,17,0.0032339096069335938,N/A,1,1,58,74,0.0,0.0,0.0,0.0,1.0,0.7837837837837838,58,58.0,58,0.0,74,74.0,74,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64462,31.13.78.35,80,6,0.07156205177307129,18,2,1,92,52,27.947773302282503,0.0,1285.5975719049952,0.0,2.0,1.7692307692307692,40,46.0,52,6.0,52,52.0,52,0.0,0.07156205177307129,0.07156205177307129,0.07156205177307129,0.0,0,0,0,0,0,0,0,0,?
192.168.254.100,61741,192.168.254.254,53,17,0.003386974334716797,N/A,1,1,60,76,0.0,0.0,0.0,0.0,1.0,0.7894736842105263,60,60.0,60,0.0,76,76.0,76,0.0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,?
192.168.254.100,64466,31.13.78.17,443,6,1.5719938278198242,26,12,10,1590,3124,7.633617758310558,6.71954978114183,1011.4543529761489,2099.187351628708,1.2,0.5089628681177977,40,132.5,557,162.88160321738815,40,312.4,1202,446.795299885753,5.412101745605469e-05,0.14290852980180221,0.8262500762939453,0.23058344721196344,9.5367431640625e-07,0.1653549936082628,1.0228540897369385,0.31066667560027345,5,0,7,0,?
